,action,s0,s1,s2,s3,s4,l0,l1,l2,l3,l4
172,4.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
173,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
174,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
175,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
176,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
177,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
178,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
179,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
180,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
181,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
182,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
183,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
184,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
185,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
186,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
187,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
188,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
189,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
190,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
191,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
192,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
193,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
194,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
195,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
196,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
197,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
198,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
199,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
