,waypoint_from,waypoint_to,room_from,room_to,type_from,type_to,changed_rooms
899,0,5,0,0,2,2,1
900,5,6,0,0,2,2,1
901,6,7,0,0,2,0,1
902,7,10,0,1,0,0,1
903,10,9,1,1,0,2,1
904,9,11,1,1,2,2,1
905,11,12,1,1,2,1,1
906,12,13,1,1,1,0,1
907,13,14,1,1,0,2,1
908,14,15,1,1,2,2,1
909,15,16,1,1,2,2,1
910,16,17,1,1,2,2,1
911,17,15,1,1,2,2,1
912,15,12,1,1,2,1,1
913,12,10,1,1,1,0,1
914,10,7,1,0,0,0,1
915,7,0,0,0,0,2,1
916,0,1,0,0,2,2,1
917,1,2,0,0,2,2,1
918,2,3,0,0,2,1,1
919,3,4,0,0,1,0,1
920,4,5,0,0,0,2,1
921,5,6,0,0,2,2,1
922,6,8,0,0,2,2,1
923,8,6,0,0,2,2,1
924,6,7,0,0,2,0,1
925,7,10,0,1,0,0,1
926,10,9,1,1,0,2,1
927,9,11,1,1,2,2,1
928,11,12,1,1,2,1,1
929,12,13,1,1,1,0,1
930,13,14,1,1,0,2,1
931,14,15,1,1,2,2,1
932,15,16,1,1,2,2,1
933,16,17,1,1,2,2,1
934,17,16,1,1,2,2,1
935,16,14,1,1,2,2,1
936,14,10,1,1,2,0,1
937,10,7,1,0,0,0,1
938,7,0,0,0,0,2,1
939,0,1,0,0,2,2,1
940,1,2,0,0,2,2,1
941,2,3,0,0,2,1,1
942,3,4,0,0,1,0,1
943,4,5,0,0,0,2,1
944,5,6,0,0,2,2,1
945,6,8,0,0,2,2,1
946,8,1,0,0,2,2,1
947,1,2,0,0,2,2,1
948,2,7,0,0,2,0,1
949,7,0,0,0,0,2,1
950,0,1,0,0,2,2,1
951,1,0,0,0,2,2,1
952,0,3,0,0,2,1,1
953,3,4,0,0,1,0,1
954,4,5,0,0,0,2,1
955,5,6,0,0,2,2,1
956,6,8,0,0,2,2,1
957,8,6,0,0,2,2,1
958,6,2,0,0,2,2,1
959,2,7,0,0,2,0,1
960,7,10,0,1,0,0,1
961,10,9,1,1,0,2,1
962,9,11,1,1,2,2,1
963,11,12,1,1,2,1,1
964,12,13,1,1,1,0,1
965,13,14,1,1,0,2,1
966,14,15,1,1,2,2,1
967,15,16,1,1,2,2,1
968,16,17,1,1,2,2,1
